geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
119,161,AP2A2,adaptor related protein complex 2 subunit alpha 2,1,0.76,0.423
129,174,AFP,alpha fetoprotein,1.1383e-11,0.429,0.885
130,175,AGA,aspartylglucosaminidase,4.2802e-06,0.57,0.808
131,176,ACAN,aggrecan,1,0.528,0.846
132,177,AGER,advanced glycosylation end-product specific receptor,6.3528e-16,0.42,0.885
134,181,AGRP,agouti related neuropeptide,0.00069912,0.488,0.769
135,182,JAG1,jagged canonical Notch ligand 1,1,0.429,0.808
136,183,AGT,angiotensinogen,4.9706e-08,0.367,0.923
137,185,AGTR1,angiotensin II receptor type 1,0.00053161,0.423,0.846
138,186,AGTR2,angiotensin II receptor type 2,0.0082345,0.496,0.808
140,189,AGXT,alanine--glyoxylate and serine--pyruvate aminotransferase,1.2332e-07,0.593,0.731
141,190,NR0B1,nuclear receptor subfamily 0 group B member 1,0.97025,0.494,0.808
142,191,AHCY,adenosylhomocysteinase,0.035922,0.582,0.692
144,196,AHR,aryl hydrocarbon receptor,0.99999,0.41,0.923
145,197,AHSG,alpha 2-HS glycoprotein,3.209e-10,0.506,0.846
146,199,AIF1,allograft inflammatory factor 1,1.8793e-06,0.521,0.808
148,203,AK1,adenylate kinase 1,0.027319,0.711,0.5
149,204,AK2,adenylate kinase 2,6.2706e-05,0.678,0.423
151,207,AKT1,AKT serine/threonine kinase 1,0.9759,0.311,0.962
152,208,AKT2,AKT serine/threonine kinase 2,0.64432,0.474,0.769
153,210,ALAD,aminolevulinate dehydratase,5.6185e-05,0.556,0.615
154,211,ALAS1,5'-aminolevulinate synthase 1,0.10979,0.705,0.462
155,212,ALAS2,5'-aminolevulinate synthase 2,0.99586,0.606,0.577
156,213,ALB,albumin,0.64329,0.317,0.962
157,214,ALCAM,activated leukocyte cell adhesion molecule,0.73267,0.502,0.808
158,215,ABCD1,ATP binding cassette subfamily D member 1,0.99896,0.563,0.731
159,216,ALDH1A1,aldehyde dehydrogenase 1 family member A1,0.95448,0.46,0.846
160,217,ALDH2,aldehyde dehydrogenase 2 family member,3.3959e-10,0.457,0.885
163,220,ALDH1A3,aldehyde dehydrogenase 1 family member A3,0.14128,0.578,0.654
