geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
3354,4694,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.55315,0.636,0.423
3355,4695,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,0.77351,0.617,0.577
3357,4697,NDUFA4,NDUFA4 mitochondrial complex associated,0.023901,0.695,0.462
3359,4700,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,0.00013244,0.711,0.346
3362,4703,NEB,nebulin,4.5589e-41,0.608,0.692
3363,4704,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.0047988,0.653,0.385
3364,4705,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,6.2418e-08,0.678,0.385
3367,4709,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,1.6105e-05,0.705,0.538
3371,4714,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,0.0074738,0.638,0.654
3372,4715,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.00016312,0.7,0.385
3373,4716,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,0.0047516,0.729,0.308
3375,4719,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,6.626e-11,0.595,0.692
3376,4720,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.0014212,0.601,0.654
3377,4722,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.00058312,0.581,0.769
3378,4723,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,6.3562e-11,0.617,0.538
3379,4724,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.00031196,0.587,0.808
3381,4726,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,0.096359,0.686,0.423
3382,4728,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.16592,0.636,0.538
3383,4729,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.005576,0.61,0.5
3385,4731,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,2.8018e-18,0.89,0.154
3387,4734,NEDD4,NEDD4 E3 ubiquitin protein ligase,8.7208e-13,0.569,0.846
3391,4739,NEDD9,"neural precursor cell expressed, developmentally down-regulated 9",0.12634,0.548,0.769
3392,4741,NEFM,neurofilament medium,0.017983,0.674,0.577
3393,4744,NEFH,neurofilament heavy,2.6684e-12,0.588,0.769
3394,4745,NELL1,neural EGFL like 1,8.6694e-12,0.539,0.731
3395,4747,NEFL,neurofilament light,,0.488,0.769
3396,4750,NEK1,NIMA related kinase 1,1.9084e-25,0.575,0.769
3401,4758,NEU1,neuraminidase 1,7.3441e-05,0.513,0.769
3403,4760,NEUROD1,neuronal differentiation 1,0.77109,0.543,0.808
3404,4761,NEUROD2,neuronal differentiation 2,0.94202,0.619,0.538
3406,4763,NF1,neurofibromin 1,0.90175,0.44,0.885
3407,4771,NF2,neurofibromin 2,1,0.468,0.885
3408,4772,NFATC1,nuclear factor of activated T cells 1,0.15652,0.517,0.731
3409,4773,NFATC2,nuclear factor of activated T cells 2,0.99995,0.525,0.731
3410,4774,NFIA,nuclear factor I A,0.99959,0.599,0.808
3415,4780,NFE2L2,"nuclear factor, erythroid 2 like 2",0.0035719,0.357,0.885
3416,4781,NFIB,nuclear factor I B,0.99861,0.573,0.654
3417,4782,NFIC,nuclear factor I C,0.090534,0.626,0.654
3419,4784,NFIX,nuclear factor I X,0.99903,0.547,0.769
3420,4790,NFKB1,nuclear factor kappa B subunit 1,1,0.396,0.923
3421,4791,NFKB2,nuclear factor kappa B subunit 2,1,0.509,0.808
3422,4792,NFKBIA,NFKB inhibitor alpha,0.99452,0.487,0.885
3424,4794,NFKBIE,NFKB inhibitor epsilon,0.77098,0.7,0.385
3425,4795,NFKBIL1,NFKB inhibitor like 1,0.025515,0.653,0.615
3429,4800,NFYA,nuclear transcription factor Y subunit alpha,0.14619,0.65,0.654
3431,4802,NFYC,nuclear transcription factor Y subunit gamma,0.10847,0.792,0.423
3432,4803,NGF,nerve growth factor,0.82026,0.391,0.885
3433,4804,NGFR,nerve growth factor receptor,0.097889,0.477,0.846
3436,4809,SNU13,small nuclear ribonucleoprotein 13,0.74848,0.78,0.346
3437,4810,NHS,NHS actin remodeling regulator,0.99999,0.466,0.846
3448,4825,NKX6-1,NK6 homeobox 1,0.062705,0.76,0.231
3449,4826,NNAT,neuronatin,0.40136,0.633,0.538
3453,4830,NME1,NME/NM23 nucleoside diphosphate kinase 1,0.0031764,0.443,0.808
3454,4831,NME2,NME/NM23 nucleoside diphosphate kinase 2,8.8471e-09,0.573,0.731
3457,4835,NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,8.7572e-07,0.628,0.5
3458,4836,NMT1,N-myristoyltransferase 1,0.9955,0.78,0.423
3459,4837,NNMT,nicotinamide N-methyltransferase,5.2791e-08,0.559,0.654
3460,4838,NODAL,nodal growth differentiation factor,0.97028,0.588,0.731
3462,4841,NONO,non-POU domain containing octamer binding,0.9935,0.554,0.731
3463,4842,NOS1,nitric oxide synthase 1,1,0.408,0.885
3464,4843,NOS2,nitric oxide synthase 2,4.0277e-15,0.364,0.923
3465,4846,NOS3,nitric oxide synthase 3,6.7246e-07,0.378,0.885
3469,4851,NOTCH1,notch receptor 1,1,0.369,0.885
3470,4852,NPY,neuropeptide Y,0.14294,0.447,0.846
3471,4853,NOTCH2,notch receptor 2,1,0.441,0.808
3472,4854,NOTCH3,notch receptor 3,0.40757,0.435,0.808
3473,4855,NOTCH4,notch receptor 4,2.0544e-23,0.534,0.731
3474,4856,CCN3,cellular communication network factor 3,0.0066442,0.554,0.615
3477,4860,PNP,purine nucleoside phosphorylase,6.9987e-06,0.527,0.885
3479,4862,NPAS2,neuronal PAS domain protein 2,1,0.595,0.654
3481,4864,NPC1,NPC intracellular cholesterol transporter 1,6.5418e-06,0.518,0.692
3482,4867,NPHP1,nephrocystin 1,1.241e-17,0.572,0.731
3483,4868,NPHS1,"NPHS1 adhesion molecule, nephrin",2.5376e-14,0.597,0.615
3484,4869,NPM1,nucleophosmin 1,0.99816,0.464,0.846
3486,4878,NPPA,natriuretic peptide A,0.00054522,0.505,0.769
3487,4879,NPPB,natriuretic peptide B,9.8786e-06,0.513,0.808
3488,4880,NPPC,natriuretic peptide C,0.060647,0.568,0.769
3490,4882,NPR2,natriuretic peptide receptor 2,4.2042e-05,0.573,0.615
3491,4883,NPR3,natriuretic peptide receptor 3,1.006e-05,0.633,0.615
3494,4886,NPY1R,neuropeptide Y receptor Y1,0.042605,0.628,0.423
3495,4887,NPY2R,neuropeptide Y receptor Y2,0.035526,0.612,0.577
3496,4889,NPY5R,neuropeptide Y receptor Y5,0.0063686,0.691,0.462
3497,4891,SLC11A2,solute carrier family 11 member 2,0.0066528,0.566,0.769
3499,4893,NRAS,"NRAS proto-oncogene, GTPase",0.49009,0.39,0.808
3500,4897,NRCAM,neuronal cell adhesion molecule,0.015254,0.666,0.423
3501,4898,NRDC,nardilysin convertase,0.044066,0.647,0.5
3503,4900,NRGN,neurogranin,0.4819,0.608,0.615
3505,4902,NRTN,neurturin,0.030223,0.682,0.538
3506,4904,YBX1,Y-box binding protein 1,0.94646,0.519,0.769
3507,4905,NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",0.018338,0.656,0.577
3509,4908,NTF3,neurotrophin 3,0.93201,0.519,0.808
3510,4909,NTF4,neurotrophin 4,0.012031,0.641,0.692
3512,4913,NTHL1,nth like DNA glycosylase 1,5.6607e-10,0.623,0.615
3513,4914,NTRK1,neurotrophic receptor tyrosine kinase 1,1.9568e-06,0.422,0.808
3514,4915,NTRK2,neurotrophic receptor tyrosine kinase 2,1,0.479,0.808
3515,4916,NTRK3,neurotrophic receptor tyrosine kinase 3,0.9983,0.522,0.692
3517,4919,ROR1,receptor tyrosine kinase like orphan receptor 1,0.99645,0.552,0.731
3518,4920,ROR2,receptor tyrosine kinase like orphan receptor 2,0.00012401,0.498,0.731
3520,4922,NTS,neurotensin,3.8527e-05,0.517,0.769
3521,4923,NTSR1,neurotensin receptor 1,1.928e-08,0.563,0.692
3524,4926,NUMA1,nuclear mitotic apparatus protein 1,1,0.644,0.577
3525,4927,NUP88,nucleoporin 88,1.9577e-08,0.659,0.577
3526,4928,NUP98,nucleoporin 98 and 96 precursor,1,0.532,0.577
3527,4929,NR4A2,nuclear receptor subfamily 4 group A member 2,0.99959,0.529,0.846
3530,4935,GPR143,G protein-coupled receptor 143,0.92526,0.659,0.385
3534,4939,OAS2,2'-5'-oligoadenylate synthetase 2,2.605e-21,0.67,0.538
3535,4940,OAS3,2'-5'-oligoadenylate synthetase 3,1.9653e-33,0.608,0.615
3541,4948,OCA2,OCA2 melanosomal transmembrane protein,2.9064e-13,0.539,0.808
3542,4952,OCRL,OCRL inositol polyphosphate-5-phosphatase,0.99999,0.553,0.731
3543,4953,ODC1,ornithine decarboxylase 1,0.16966,0.51,0.731
3550,4967,OGDH,oxoglutarate dehydrogenase,0.99728,0.653,0.538
3551,4968,OGG1,8-oxoguanine DNA glycosylase,3.9314e-12,0.453,0.808
3552,4969,OGN,osteoglycin,0.00074118,0.631,0.577
3553,4973,OLR1,oxidized low density lipoprotein receptor 1,0.007199,0.544,0.769
3556,4976,OPA1,OPA1 mitochondrial dynamin like GTPase,0.98636,0.51,0.846
3558,4978,OPCML,opioid binding protein/cell adhesion molecule like,0.22804,0.606,0.654
3559,4982,TNFRSF11B,TNF receptor superfamily member 11b,0.16171,0.422,0.808
3560,4983,OPHN1,oligophrenin 1,0.99985,0.633,0.538
3561,4985,OPRD1,opioid receptor delta 1,0.0033233,0.603,0.731
3562,4986,OPRK1,opioid receptor kappa 1,4.0625e-05,0.554,0.615
3563,4987,OPRL1,opioid related nociceptin receptor 1,0.48172,0.628,0.462
3564,4988,OPRM1,opioid receptor mu 1,7.8882e-11,0.457,0.808
3565,4990,SIX6,SIX homeobox 6,0.51776,0.588,0.654
3568,4998,ORC1,origin recognition complex subunit 1,1.7297e-14,0.595,0.654
3570,5000,ORC4,origin recognition complex subunit 4,7.5667e-13,0.612,0.654
3572,5002,SLC22A18,solute carrier family 22 member 18,6.458e-06,0.595,0.692
3573,5003,SLC22A18AS,solute carrier family 22 member 18 antisense,0.0025627,0.931,0.115
3577,5008,OSM,oncostatin M,0.58916,0.505,0.769
3578,5009,OTC,ornithine carbamoyltransferase,0.87295,0.565,0.846
3579,5010,CLDN11,claudin 11,0.91076,0.623,0.731
3582,5015,OTX2,orthodenticle homeobox 2,0.92344,0.514,0.808
3583,5016,OVGP1,oviductal glycoprotein 1,0.00067299,0.729,0.538
3584,5017,OVOL1,ovo like transcriptional repressor 1,0.87808,0.716,0.423
3586,5019,OXCT1,3-oxoacid CoA-transferase 1,0.0047279,0.686,0.423
3587,5020,OXT,oxytocin/neurophysin I prepropeptide,0.71197,0.615,0.423
3588,5021,OXTR,oxytocin receptor,0.00071066,0.541,0.769
3590,5024,P2RX3,purinergic receptor P2X 3,1.0318e-06,0.565,0.769
3593,5027,P2RX7,purinergic receptor P2X 7,3.3344e-11,0.45,0.808
3595,5029,P2RY2,purinergic receptor P2Y2,0.084245,0.543,0.808
3599,5033,P4HA1,prolyl 4-hydroxylase subunit alpha 1,0.93166,0.736,0.385
3600,5034,P4HB,prolyl 4-hydroxylase subunit beta,0.99662,0.488,0.808
3602,5037,PEBP1,phosphatidylethanolamine binding protein 1,0.09167,0.5,0.808
3606,5045,FURIN,"furin, paired basic amino acid cleaving enzyme",0.99994,0.612,0.769
3608,5047,PAEP,progestagen associated endometrial protein,3.1109e-08,0.43,0.846
3609,5048,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,0.99995,0.504,0.769
3613,5052,PRDX1,peroxiredoxin 1,7.6959e-10,0.485,0.846
3614,5053,PAH,phenylalanine hydroxylase,6.4046e-23,0.516,0.769
3615,5054,SERPINE1,serpin family E member 1,0.043609,0.359,0.885
3617,5058,PAK1,p21 (RAC1) activated kinase 1,0.0013306,0.494,0.808
3618,5062,PAK2,p21 (RAC1) activated kinase 2,0.97169,0.653,0.538
3619,5063,PAK3,p21 (RAC1) activated kinase 3,0.98716,0.569,0.731
3620,5064,PALM,paralemmin,0.51902,0.861,0.154
3621,5066,PAM,peptidylglycine alpha-amidating monooxygenase,6.934e-06,0.542,0.692
3622,5067,CNTN3,contactin 3,1.9893e-05,0.612,0.654
3623,5068,REG3A,regenerating family member 3 alpha,0.00062895,0.522,0.769
3624,5069,PAPPA,pappalysin 1,0.1613,0.558,0.692
3625,5071,PRKN,parkin RBR E3 ubiquitin protein ligase,6.9346e-07,0.431,0.846
3627,5073,PARN,poly(A)-specific ribonuclease,0.00037303,0.575,0.769
3628,5074,PAWR,pro-apoptotic WT1 regulator,0.089515,0.542,0.846
3630,5076,PAX2,paired box 2,0.66999,0.495,0.731
3631,5077,PAX3,paired box 3,0.24063,0.481,0.769
3632,5078,PAX4,paired box 4,0.00042273,0.644,0.423
3633,5079,PAX5,paired box 5,0.99798,0.487,0.654
3634,5080,PAX6,paired box 6,0.99975,0.45,0.769
3635,5081,PAX7,paired box 7,0.14469,0.597,0.538
3639,5089,PBX2,PBX homeobox 2,0.99532,0.686,0.462
3641,5091,PC,pyruvate carboxylase,0.013834,0.515,0.808
3645,5095,PCCA,propionyl-CoA carboxylase subunit alpha,3.1345e-15,0.682,0.538
3646,5096,PCCB,propionyl-CoA carboxylase subunit beta,1.53e-08,0.695,0.577
3653,5105,PCK1,phosphoenolpyruvate carboxykinase 1,8.7476e-15,0.608,0.538
3654,5106,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial",1.7471e-23,0.653,0.423
3657,5111,PCNA,proliferating cell nuclear antigen,0.97606,0.382,0.846
3658,5116,PCNT,pericentrin,4.0172e-58,0.564,0.808
3660,5119,CHMP1A,charged multivesicular body protein 1A,0.00028502,0.695,0.5
3663,5122,PCSK1,proprotein convertase subtilisin/kexin type 1,2.745e-09,0.548,0.615
3664,5125,PCSK5,proprotein convertase subtilisin/kexin type 5,2.5352e-12,0.659,0.538
3665,5126,PCSK2,proprotein convertase subtilisin/kexin type 2,0.99853,0.663,0.462
3669,5130,PCYT1A,"phosphate cytidylyltransferase 1, choline, alpha",2.024e-05,0.485,0.885
3672,5133,PDCD1,programmed cell death 1,0.41706,0.402,0.846
3674,5136,PDE1A,phosphodiesterase 1A,0.013549,0.743,0.385
3675,5137,PDE1C,phosphodiesterase 1C,5.3913e-09,0.7,0.423
3676,5138,PDE2A,phosphodiesterase 2A,0.631,0.666,0.577
3677,5139,PDE3A,phosphodiesterase 3A,0.00019291,0.67,0.577
3678,5140,PDE3B,phosphodiesterase 3B,5.7226e-05,0.659,0.577
3679,5141,PDE4A,phosphodiesterase 4A,0.98167,0.523,0.846
3680,5142,PDE4B,phosphodiesterase 4B,0.4746,0.566,0.731
3682,5144,PDE4D,phosphodiesterase 4D,0.9998,0.519,0.846
3685,5147,PDE6D,phosphodiesterase 6D,0.006423,0.623,0.577
3690,5152,PDE9A,phosphodiesterase 9A,0.0045595,0.736,0.192
3692,5154,PDGFA,platelet derived growth factor subunit A,0.80842,0.533,0.731
3693,5155,PDGFB,platelet derived growth factor subunit B,0.77006,0.488,0.846
3694,5156,PDGFRA,platelet derived growth factor receptor alpha,1,0.415,0.808
3697,5159,PDGFRB,platelet derived growth factor receptor beta,0.9041,0.416,0.846
3698,5160,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1,0.98842,0.581,0.538
3700,5162,PDHB,pyruvate dehydrogenase E1 subunit beta,0.15201,0.711,0.385
3701,5163,PDK1,pyruvate dehydrogenase kinase 1,1.0963e-05,0.51,0.808
3704,5166,PDK4,pyruvate dehydrogenase kinase 4,9.142e-12,0.578,0.577
3705,5167,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,4.9944e-08,0.498,0.808
3706,5168,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,0.0027913,0.582,0.769
3710,5172,SLC26A4,solute carrier family 26 member 4,8.9898e-22,0.507,0.885
3711,5173,PDYN,prodynorphin,0.00017033,0.534,0.577
3712,5174,PDZK1,PDZ domain containing 1,1.1586e-09,0.65,0.654
3713,5175,PECAM1,platelet and endothelial cell adhesion molecule 1,,0.426,0.846
3714,5176,SERPINF1,serpin family F member 1,7.8044e-08,0.46,0.846
3717,5179,PENK,proenkephalin,0.0002077,0.56,0.808
3720,5184,PEPD,peptidase D,1.4633e-14,0.621,0.769
3721,5187,PER1,period circadian regulator 1,0.00029308,0.555,0.731
3723,5189,PEX1,peroxisomal biogenesis factor 1,1.0572e-14,0.538,0.769
3724,5190,PEX6,peroxisomal biogenesis factor 6,6.253e-06,0.547,0.731
3725,5191,PEX7,peroxisomal biogenesis factor 7,8.1798e-13,0.603,0.615
3726,5192,PEX10,peroxisomal biogenesis factor 10,0.00054204,0.584,0.654
3727,5193,PEX12,peroxisomal biogenesis factor 12,9.4838e-16,0.601,0.615
3728,5194,PEX13,peroxisomal biogenesis factor 13,5.8959e-05,0.597,0.654
3729,5195,PEX14,peroxisomal biogenesis factor 14,0.22566,0.592,0.692
3730,5196,PF4,platelet factor 4,0.043062,0.522,0.846
3738,5205,ATP8B1,ATPase phospholipid transporting 8B1,2.7666e-10,0.61,0.5
3741,5209,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",0.24579,0.561,0.808
3742,5210,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",2.1422e-09,0.666,0.346
3743,5211,PFKL,"phosphofructokinase, liver type",2.702e-17,0.722,0.269
3745,5213,PFKM,"phosphofructokinase, muscle",3.7625e-18,0.666,0.5
3747,5216,PFN1,profilin 1,0.73258,0.565,0.769
3751,5223,PGAM1,phosphoglycerate mutase 1,2.5841e-07,0.621,0.615
3755,5228,PGF,placental growth factor,0.1288,0.46,0.846
3757,5230,PGK1,phosphoglycerate kinase 1,0.76537,0.542,0.769
3760,5236,PGM1,phosphoglucomutase 1,5.0551e-15,0.628,0.577
3761,5238,PGM3,phosphoglucomutase 3,1.4641e-05,0.61,0.769
3763,5241,PGR,progesterone receptor,0.051042,0.426,0.885
3764,5243,ABCB1,ATP binding cassette subfamily B member 1,1.2564e-05,0.344,0.885
3765,5244,ABCB4,ATP binding cassette subfamily B member 4,2.2138e-07,0.528,0.654
3766,5245,PHB,prohibitin,0.7588,0.511,0.846
3768,5250,SLC25A3,solute carrier family 25 member 3,0.074834,0.566,0.692
3769,5251,PHEX,phosphate regulating endopeptidase homolog X-linked,0.99996,0.548,0.808
3773,5256,PHKA2,phosphorylase kinase regulatory subunit alpha 2,0.3839,0.678,0.462
3776,5261,PHKG2,phosphorylase kinase catalytic subunit gamma 2,0.0038581,0.674,0.538
3777,5264,PHYH,phytanoyl-CoA 2-hydroxylase,2.3792e-06,0.659,0.577
3778,5265,SERPINA1,serpin family A member 1,6.8497e-08,0.41,0.923
3781,5268,SERPINB5,serpin family B member 5,0.0036486,0.582,0.577
3787,5274,SERPINI1,serpin family I member 1,0.026631,0.631,0.462
3790,5277,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,0.96072,0.575,0.654
3793,5283,PIGH,phosphatidylinositol glycan anchor biosynthesis class H,0.2307,0.76,0.231
3795,5286,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,0.010126,0.633,0.692
3798,5289,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,8.4165e-11,0.647,0.615
3799,5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",1,0.292,0.923
3801,5292,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",0.84846,0.482,0.769
3802,5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",0.99999,0.319,0.885
3803,5294,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",1.4076e-06,0.32,0.885
3804,5295,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,0.99978,0.477,0.885
3805,5296,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,0.016273,0.551,0.808
3806,5297,PI4KA,phosphatidylinositol 4-kinase alpha,3.1234e-12,0.691,0.577
3808,5300,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",0.74031,0.488,0.769
3811,5305,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,0.14155,0.647,0.423
3813,5307,PITX1,paired like homeodomain 1,0.88244,0.561,0.654
3814,5308,PITX2,paired like homeodomain 2,0.97618,0.489,0.808
3817,5311,PKD2,"polycystin 2, transient receptor potential cation channel",0.00017271,0.552,0.731
3819,5313,PKLR,pyruvate kinase L/R,3.4869e-07,0.603,0.615
3821,5315,PKM,pyruvate kinase M1/2,0.8549,0.482,0.808
3823,5317,PKP1,plakophilin 1,0.00058339,0.659,0.462
3824,5318,PKP2,plakophilin 2,3.1147e-18,0.606,0.538
3825,5319,PLA2G1B,phospholipase A2 group IB,1.0057e-10,0.468,0.846
3826,5320,PLA2G2A,phospholipase A2 group IIA,0.097278,0.488,0.808
3827,5321,PLA2G4A,phospholipase A2 group IVA,5.9817e-05,0.496,0.846
3829,5324,PLAG1,PLAG1 zinc finger,0.99532,0.493,0.808
3830,5325,PLAGL1,PLAG1 like zinc finger 1,0.9764,0.566,0.769
3832,5327,PLAT,"plasminogen activator, tissue type",5.6593e-05,0.445,0.885
3833,5328,PLAU,"plasminogen activator, urokinase",2.3058e-06,0.425,0.923
3834,5329,PLAUR,"plasminogen activator, urokinase receptor",0.0053378,0.536,0.731
3837,5332,PLCB4,phospholipase C beta 4,3.0437e-06,0.61,0.731
3838,5333,PLCD1,phospholipase C delta 1,1.737e-19,0.636,0.577
3839,5334,PLCL1,phospholipase C like 1 (inactive),0.012059,0.608,0.654
3840,5335,PLCG1,phospholipase C gamma 1,7.9288e-05,0.564,0.692
3841,5336,PLCG2,phospholipase C gamma 2,0.99562,0.588,0.808
3842,5337,PLD1,phospholipase D1,4.7758e-21,0.576,0.731
3843,5338,PLD2,phospholipase D2,4.1429e-27,0.617,0.654
3844,5339,PLEC,plectin,8.3469e-12,0.523,0.808
3845,5340,PLG,plasminogen,0.010345,0.389,0.923
3846,5341,PLEK,pleckstrin,0.001067,0.588,0.731
3848,5346,PLIN1,perilipin 1,3.1486e-11,0.59,0.654
3852,5350,PLN,phospholamban,0.44947,0.595,0.577
3853,5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",1.4837e-15,0.579,0.731
3854,5352,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",6.6965e-08,0.559,0.654
3855,5354,PLP1,proteolipid protein 1,0.92845,0.543,0.769
3861,5360,PLTP,phospholipid transfer protein,8.9961e-09,0.633,0.654
3864,5364,PLXNB1,plexin B1,0.00038291,0.621,0.692
3866,5366,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,0.11182,0.559,0.808
3867,5367,PMCH,pro-melanin concentrating hormone,0.11486,0.615,0.808
3869,5371,PML,promyelocytic leukemia,0.21291,0.477,0.846
3871,5373,PMM2,phosphomannomutase 2,1.4072e-17,0.535,0.769
3873,5376,PMP22,peripheral myelin protein 22,0.90958,0.471,0.885
3874,5378,PMS1,"PMS1 homolog 1, mismatch repair system component",1.3178e-17,0.569,0.654
3875,5379,PMS2P1,"PMS1 homolog 2, mismatch repair system component pseudogene 1",,1,0.077
3878,5393,EXOSC9,exosome component 9,1.7871e-11,0.705,0.423
3880,5395,PMS2,"PMS1 homolog 2, mismatch repair system component",4.5176e-27,0.484,0.808
3881,5396,PRRX1,paired related homeobox 1,0.24291,0.543,0.769
3888,5413,SEPTIN5,septin 5,0.92671,0.691,0.462
3890,5420,PODXL,podocalyxin like,0.0010333,0.551,0.731
3891,5422,POLA1,"DNA polymerase alpha 1, catalytic subunit",1,0.653,0.731
3892,5423,POLB,DNA polymerase beta,3.4002e-05,0.606,0.654
3893,5424,POLD1,"DNA polymerase delta 1, catalytic subunit",2.4179e-06,0.507,0.769
3897,5428,POLG,"DNA polymerase gamma, catalytic subunit",2.0756e-09,0.457,0.846
3904,5435,POLR2F,RNA polymerase II subunit F,0.012528,0.722,0.308
3910,5443,POMC,proopiomelanocortin,0.00011658,0.356,0.846
3911,5444,PON1,paraoxonase 1,9.8142e-11,0.409,0.885
3912,5445,PON2,paraoxonase 2,5.4352e-05,0.566,0.808
3913,5446,PON3,paraoxonase 3,2.1034e-07,0.663,0.692
3914,5447,POR,cytochrome p450 oxidoreductase,3.4212e-10,0.502,0.769
3915,5449,POU1F1,POU class 1 homeobox 1,0.045046,0.548,0.654
3916,5450,POU2AF1,POU class 2 homeobox associating factor 1,0.56553,0.608,0.615
3919,5453,POU3F1,POU class 3 homeobox 1,0.56469,0.711,0.462
3920,5454,POU3F2,POU class 3 homeobox 2,0.92007,0.7,0.423
3926,5460,POU5F1,POU class 5 homeobox 1,0.95371,0.441,0.846
3930,5465,PPARA,peroxisome proliferator activated receptor alpha,0.030182,0.432,0.885
3931,5467,PPARD,peroxisome proliferator activated receptor delta,0.99497,0.513,0.846
3932,5468,PPARG,peroxisome proliferator activated receptor gamma,0.029194,0.358,0.885
3933,5469,MED1,mediator complex subunit 1,1,0.573,0.692
3937,5476,CTSA,cathepsin A,5.8984e-09,0.619,0.731
3938,5478,PPIA,peptidylprolyl isomerase A,0.55734,0.51,0.769
3941,5481,PPID,peptidylprolyl isomerase D,1.9309e-09,0.603,0.692
3942,5491,PPIAP9,peptidylprolyl isomerase A pseudogene 9,,1,0.115
3943,5493,PPL,periplakin,1.5145e-42,0.666,0.538
3945,5495,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B",0.0090829,0.711,0.5
3946,5496,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",0.9604,0.839,0.269
3947,5498,PPOX,protoporphyrinogen oxidase,0.02829,0.678,0.5
3949,5500,PPP1CB,protein phosphatase 1 catalytic subunit beta,0.99912,0.601,0.577
3950,5501,PPP1CC,protein phosphatase 1 catalytic subunit gamma,0.95777,0.861,0.154
3951,5502,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,0.021894,0.559,0.692
3956,5511,PPP1R8,protein phosphatase 1 regulatory subunit 8,0.98791,0.722,0.385
3957,5514,PPP1R10,protein phosphatase 1 regulatory subunit 10,1,0.751,0.423
3958,5515,PPP2CA,protein phosphatase 2 catalytic subunit alpha,0.9893,0.608,0.769
3963,5521,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta,0.98467,0.601,0.577
3964,5522,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,0.89954,0.7,0.5
3965,5523,PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha,0.62349,0.805,0.231
3966,5524,PTPA,protein phosphatase 2 phosphatase activator,0.99057,0.48,0.846
3972,5530,PPP3CA,protein phosphatase 3 catalytic subunit alpha,0.99988,0.568,0.769
3975,5533,PPP3CC,protein phosphatase 3 catalytic subunit gamma,0.26374,0.769,0.192
3980,5538,PPT1,palmitoyl-protein thioesterase 1,4.862e-05,0.593,0.808
3990,5550,PREP,prolyl endopeptidase,0.08025,0.576,0.731
3991,5551,PRF1,perforin 1,5.4875e-06,0.54,0.692
3993,5553,PRG2,"proteoglycan 2, pro eosinophil major basic protein",0.00019062,0.678,0.538
3998,5562,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,0.13725,0.453,0.846
3999,5563,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,3.5282e-08,0.456,0.846
4002,5566,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,0.97142,0.606,0.692
